Ambu's Charge, Crusader Chainmail
Ashrend, Buckskin Tunic
Bramblejack, Plate Vest
Bronn's Lithe, Cutthorat's Garb
Carcass Jack, Varnished Coat
Cloak of Flame, Scholar's Robe
The Covenant, Spidersilk Robe
Death's Oath, Asrtal Plate
Foxshade, Wild Leather
Hyrri's Ire, Zodiac Leather
Icetomb, Latticed Ringmail
Infernal Mantel, Occultist's Vestment
Kaom's Heart, Glorious Plate
Lightbane Rainment, Ornate Ringmail
Shavronne's Wrappings, Occultist's Vestment
Soul Mantle, Spidersilk Robe
Tabula Rasa, Simple Robe
Thousand Ribbons, Simple Robe
Voll's Protector, Holy Chainmail
Zahndethus' Cassock, Sage's Robe
