Abyssus, Ezomyte Burgonet
Alpha's Howl, Sinner Tricorne
Asenath's Mark, Iron Circlet
Chitus' Apex, Necromancer Circlet
Crown of Thorns, Vine Circlet
Deidbell, Gilded Sallet
Devoto's Devotion, Nightmare Bascinet
Ezomyte Peak, Iron Hat
Fairgraves' Tricorne, Tricorne
Geofri's Crest, Great Crown
Goldrim, Leather Cap
Heatshiver, Leather Hood
Honourhome, Soldier Helmet
Hrimnor's Resolve, Samnite Helmet
Leer Cast, Festival Mask
Malachai's Simula, Iron Mask
Mindspiral, Aventail Helmet
Rat's Nest, Ursine Pelt
Rime Gaze, Mind Cage
Starkonja's Head, Silken Hood
The Bringer of Rain, Nightmare Bascinet
The Peregrine, Visored Sallet
