Aegis Aurora, Champion Kite Shield
Atziri's Mirror, Golden Buckler
Chernobog's Pillar, Ebony Tower Shield
Crest of Perandus, Pine Buckler
Daresso's Courage, Baroque Round Shield
Kaltenhalt, Painted Buckler
Lioneye's Remorse, Pinnacle Tower Shield
Matua Tupuna, Tarnished Spirit Shield
Prism Guardian, Archon Kite Shield
Rathpith Globe, Titanium Spirit Shield
Rise of the Phoenix, Mosaic Kite Shield
Saffell's Frame, Branded Kite Shield
Springleaf, Plank Kite Shield
Titucus Span, Reinforced Tower Shield
